MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats,k-means
0.36,0.97,1.0,2,36,60,2500,1.0
0.36,0.99,1.0,2,36,70,2500,1.0
0.36,1.0,1.0,2,36,80,2500,1.0
0.36,1.0,1.0,2,36,90,2500,1.0
0.36,1.0,1.0,2,36,100,2500,1.0
0.05,0.12,0.08,3,12,1,2500,0.01
0.31,0.18,1.0,3,12,10,2500,0.9
0.31,0.2,1.0,3,12,20,2500,0.99
0.32,0.25,1.0,3,12,30,2500,1.0
0.32,0.3,1.0,3,12,40,2500,1.0
0.32,0.4,1.0,3,12,50,2500,1.0
0.32,0.4,1.0,3,12,60,2500,1.0
0.32,0.43,1.0,3,12,70,2500,1.0
0.32,0.39,1.0,3,12,80,2500,1.0
0.32,0.44,1.0,3,12,90,2500,1.0
0.32,0.46,1.0,3,12,100,2500,1.0
0.09,0.02,0.04,3,24,1,2500,0.0
0.27,0.12,1.0,3,24,10,2500,0.52
0.29,0.18,1.0,3,24,20,2500,0.98
0.29,0.2,1.0,3,24,30,2500,1.0
0.29,0.17,1.0,3,24,40,2500,1.0
0.29,0.18,1.0,3,24,50,2500,1.0
0.29,0.51,1.0,3,24,60,2500,1.0
0.29,0.53,1.0,3,24,70,2500,1.0
0.29,0.68,1.0,3,24,80,2500,1.0
0.29,0.71,1.0,3,24,90,2500,1.0
0.29,0.69,1.0,3,24,100,2500,1.0
0.06,0.1,0.03,3,36,1,2500,0.0
0.38,0.44,1.0,3,36,10,2500,0.6
0.42,0.65,1.0,3,36,20,2500,0.99
0.42,0.94,1.0,3,36,30,2500,1.0
0.42,0.97,1.0,3,36,40,2500,1.0
0.42,1.0,1.0,3,36,50,2500,1.0
0.42,1.0,1.0,3,36,60,2500,1.0
0.42,1.0,1.0,3,36,70,2500,1.0
0.42,1.0,1.0,3,36,80,2500,1.0
0.42,1.0,1.0,3,36,90,2500,1.0
0.42,1.0,1.0,3,36,100,2500,1.0
0.18,0.0,0.1,4,12,1,2500,0.0
0.91,0.01,1.0,4,12,10,2500,0.76
0.99,0.01,1.0,4,12,20,2500,1.0
0.99,0.05,1.0,4,12,30,2500,1.0
0.99,0.1,1.0,4,12,40,2500,1.0
0.99,0.11,1.0,4,12,50,2500,1.0
0.99,0.27,1.0,4,12,60,2500,1.0
0.99,0.44,1.0,4,12,70,2500,1.0
0.99,0.68,1.0,4,12,80,2500,1.0
0.99,0.86,1.0,4,12,90,2500,1.0
0.99,0.84,1.0,4,12,100,2500,1.0
0.09,0.04,0.13,4,24,1,2500,0.0
0.37,0.27,1.0,4,24,10,2500,0.75
0.42,0.48,1.0,4,24,20,2500,1.0
0.42,0.61,1.0,4,24,30,2500,1.0
0.42,0.68,1.0,4,24,40,2500,1.0
0.42,0.74,1.0,4,24,50,2500,1.0
0.42,0.84,1.0,4,24,60,2500,1.0
0.42,0.9,1.0,4,24,70,2500,1.0
0.42,0.89,1.0,4,24,80,2500,1.0
0.42,0.93,1.0,4,24,90,2500,1.0
0.42,0.93,1.0,4,24,100,2500,1.0
0.08,0.11,0.05,4,36,1,2500,0.0
1.0,0.15,1.0,4,36,10,2500,0.43
1.0,0.2,1.0,4,36,20,2500,0.97
1.0,0.24,1.0,4,36,30,2500,1.0
1.0,0.34,1.0,4,36,40,2500,1.0
1.0,0.56,1.0,4,36,50,2500,1.0
1.0,0.99,1.0,4,36,60,2500,1.0
1.0,1.0,1.0,4,36,70,2500,1.0
1.0,1.0,1.0,4,36,80,2500,1.0
1.0,1.0,1.0,4,36,90,2500,1.0
1.0,1.0,1.0,4,36,100,2500,1.0
0.2,0.1,0.17,2,12,1,5000,0.01
0.45,0.01,1.0,2,12,10,5000,0.98
0.45,0.17,1.0,2,12,20,5000,1.0
0.45,0.18,1.0,2,12,30,5000,1.0
0.45,0.14,1.0,2,12,40,5000,1.0
0.45,0.13,1.0,2,12,50,5000,1.0
0.45,0.15,1.0,2,12,60,5000,1.0
0.45,0.19,1.0,2,12,70,5000,1.0
0.45,0.2,1.0,2,12,80,5000,1.0
0.45,0.2,1.0,2,12,90,5000,1.0
0.45,0.26,1.0,2,12,100,5000,1.0
0.02,0.04,0.31,2,24,1,5000,0.0
0.05,0.18,1.0,2,24,10,5000,0.95
0.05,0.3,1.0,2,24,20,5000,1.0
0.05,0.39,1.0,2,24,30,5000,1.0
0.05,0.49,1.0,2,24,40,5000,1.0
0.05,0.54,1.0,2,24,50,5000,1.0
0.05,0.62,1.0,2,24,60,5000,1.0
0.05,0.68,1.0,2,24,70,5000,1.0
0.05,0.6,1.0,2,24,80,5000,1.0
0.05,0.41,1.0,2,24,90,5000,1.0
0.05,0.81,1.0,2,24,100,5000,1.0
0.08,0.02,0.17,2,36,1,5000,0.0
0.15,0.55,1.0,2,36,10,5000,0.28
0.15,0.92,1.0,2,36,20,5000,1.0
0.15,0.98,1.0,2,36,30,5000,1.0
0.15,0.99,1.0,2,36,40,5000,1.0
0.15,0.99,1.0,2,36,50,5000,1.0
0.15,1.0,1.0,2,36,60,5000,1.0
0.15,1.0,1.0,2,36,70,5000,1.0
0.15,1.0,1.0,2,36,80,5000,1.0
0.15,1.0,1.0,2,36,90,5000,1.0
0.15,1.0,1.0,2,36,100,5000,1.0
0.15,0.06,0.15,3,12,1,5000,0.0
0.84,0.08,1.0,3,12,10,5000,0.97
0.84,0.12,1.0,3,12,20,5000,1.0
0.84,0.13,1.0,3,12,30,5000,1.0
0.84,0.24,1.0,3,12,40,5000,1.0
0.84,0.24,1.0,3,12,50,5000,1.0
0.84,0.2,1.0,3,12,60,5000,1.0
0.84,0.34,1.0,3,12,70,5000,1.0
0.84,0.3,1.0,3,12,80,5000,1.0
