Metadata_pert_name,mAP,p_value,corrected_p_value,below_p,p < 0.05,-log10(mAP p-value),Cell type,markers
CHEK2-1,0.19181954396710477,0.0292970702929707,0.05050342423384781,True,False,1.2966791748427515,ES2,p<0.05
CHEK2-2,0.07067365024765468,0.14458554144585542,0.16324210275601655,False,False,0.7871678196237539,ES2,p>=0.05
COX5B-1,0.0851910160478704,0.1040895910408959,0.12391617981059037,False,False,0.9068719838282081,ES2,p>=0.05
COX5B-2,0.08929830537073742,0.09549045095490451,0.1166956475084199,False,False,0.9329453418837358,ES2,p>=0.05
CSNK1A1-1,0.4899903586947197,9.999000099990002e-05,0.0003333000033330001,True,True,3.477164681996525,ES2,p<0.05
CSNK1A1-2,0.18122755258870274,0.029797020297970205,0.05050342423384781,True,False,1.2966791748427515,ES2,p<0.05
CTNNB1-1,0.4706767142319284,9.999000099990002e-05,0.0003333000033330001,True,True,3.477164681996525,ES2,p<0.05
CTNNB1-2,0.25335466334763757,0.007999200079992,0.018602790883702328,True,True,1.7304218958645057,ES2,p<0.05
DOT1L-1,0.10566577551189028,0.07179282071792821,0.09323742950380287,False,False,1.0304097082070443,ES2,p>=0.05
DOT1L-2,0.13914740361490466,0.0408959104089591,0.0601410447190575,True,False,1.2208290319757573,ES2,p<0.05
EGFR-1,0.19259640492043226,0.0292970702929707,0.05050342423384781,True,False,1.2966791748427515,ES2,p<0.05
EGFR-2,0.14266491951387059,0.038896110388961104,0.058933500589335004,True,False,1.2296377614930236,ES2,p<0.05
EGLN1-8,0.5313595181372659,9.999000099990002e-05,0.0003333000033330001,True,True,3.477164681996525,ES2,p<0.05
EGLN1-9,1.0,9.999000099990002e-05,0.0003333000033330001,True,True,3.477164681996525,ES2,p<0.05
ERBB2-1,0.1641229953417912,0.0321967803219678,0.053661300536613006,True,False,1.2703388059646754,ES2,p<0.05
ERBB2-2,0.19524560404771085,0.029197080291970802,0.05050342423384781,True,False,1.2966791748427515,ES2,p<0.05
